metric,measure,k_fold_i,current__count_above_mean__5,"current__fft_coefficient__attr_""angle""__coeff_22__4","current__fft_coefficient__attr_""abs""__coeff_8__5",current__lempel_ziv_complexity__bins_3__3,"current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""__3","current__fft_coefficient__attr_""real""__coeff_5__4","current__fft_coefficient__attr_""abs""__coeff_8__3","current__fft_coefficient__attr_""imag""__coeff_41__4","current__fft_coefficient__attr_""imag""__coeff_23__5","current__fft_coefficient__attr_""abs""__coeff_34__6"
accuracy,std,7,0.008361545996661541,0.002564722654766501,0.006826615353440647,0.00254906895671668,0.00916538092033542,0.00873086169905609,0.0036371407636215268,0.0025256328888590947,0.002617681909785562,0.0005346886603299456
f1,mean,7,0.21720293259771095,-0.004509291821540354,0.13062430417321474,0.04360080088038288,0.18199451305046838,0.3054116943327962,0.0860607090344911,-0.01775699018096551,0.007402549285035002,-0.0006105006105006175
f1,std,7,0.03045511712592188,0.008561780427798375,0.0067271418272856105,0.00489376847435381,0.012996330102666811,0.015687082009322107,0.0050129667017828625,0.012393369122568948,0.012424743490262981,0.0013651208653845028
average_precision,mean,7,0.17929001440455047,0.017419167064050712,0.0958751470553754,-0.10264617222850021,0.1957930652914634,0.37789352788841646,0.0444934654839487,0.025125196058144925,-0.005038752636904355,0.001053210378987457
average_precision,std,7,0.08141214212090787,0.027169066518992768,0.0716533718653133,0.04576270207448561,0.06462989182648995,0.002104351030331941,0.060945047995778566,0.018139771368431996,0.02990310902135201,0.0038312072514909115
balanced_accuracy,mean,7,0.3071847507331379,0.003075920495275349,0.04478168784620395,0.010190615835777118,0.12417562724014343,0.504087650700554,0.023607038123167133,0.012523623330075003,0.018277940697295596,-0.00012218963831867047
balanced_accuracy,std,7,0.063391002061731,0.011154400639635293,0.007087860570920771,0.0013025667616066879,0.03807977554850911,0.04971854269107113,0.0018585682641086537,0.01675501905438972,0.016956097140793165,0.00027322433742666026
accuracy,mean,8,0.005743043220840697,0.004973357015985762,-0.011249259917110743,0.0018946121965659776,-0.05719360568383663,-0.01882770870337481,-0.03937240970988755,0.0031379514505624224,0.0,0.007400828892835957
accuracy,std,8,0.0027776682310810983,0.0032233647338818796,0.00547141032665385,0.004491906865219814,0.009233956999351988,0.011814059785659598,0.006438295787723962,0.0018162062344793306,0.0,0.003495197665635394
f1,mean,8,0.0010997806248568566,0.000952425277515781,-0.002243038876260746,0.00035899327827588757,-0.05116180868996503,0.07292502690722188,-0.008281593434144217,0.0006041959167191057,0.0,0.0014120331049156123
